,Y,sex,age_years,corpus,child_TNW,child_TNS,examiner_TNW,n_dos,repetition,fillers
118,1,male,4,ENNI,212,66,14,0,7,1
119,1,male,5,ENNI,468,67,2,1,47,9
120,1,female,4,ENNI,212,67,8,3,13,3
121,1,male,4,ENNI,292,90,20,1,16,13
122,1,female,4,ENNI,611,100,202,1,21,8
123,1,male,4,ENNI,321,64,20,0,13,5
124,1,male,4,ENNI,658,97,315,1,109,20
125,1,male,4,ENNI,261,62,38,0,1,1
126,1,male,4,ENNI,227,58,93,0,3,3
127,1,female,4,ENNI,436,70,0,0,5,2
128,1,male,4,ENNI,867,130,13,8,46,9
129,1,male,4,ENNI,316,62,22,1,23,13
130,1,male,5,ENNI,480,106,2,4,41,10
131,1,female,5,ENNI,714,115,31,7,13,0
132,1,female,5,ENNI,757,77,0,3,230,44
133,1,female,5,ENNI,186,58,4,0,33,25
134,1,female,5,ENNI,426,70,2,1,19,1
135,1,male,5,ENNI,499,68,25,0,21,3
136,1,male,5,ENNI,288,61,44,0,5,7
137,1,male,5,ENNI,453,77,7,3,9,2
138,1,male,5,ENNI,660,74,0,2,44,9
139,1,male,5,ENNI,930,144,54,2,12,9
140,1,male,5,ENNI,337,61,89,0,14,4
141,1,female,5,ENNI,591,68,2,1,27,11
142,1,male,5,ENNI,728,91,19,0,68,5
143,1,female,5,ENNI,384,74,10,3,9,8
144,1,female,6,ENNI,711,81,0,0,31,14
145,1,male,6,ENNI,880,128,12,11,53,7
146,1,male,6,ENNI,529,68,22,0,28,18
147,1,female,6,ENNI,326,61,7,0,6,0
148,1,male,6,ENNI,660,79,0,2,28,3
149,1,female,6,ENNI,384,71,5,0,5,0
150,1,male,6,ENNI,509,72,0,0,8,3
151,1,female,6,ENNI,1258,132,0,10,86,58
152,1,male,6,ENNI,559,70,0,0,45,9
153,1,female,6,ENNI,493,57,0,1,14,9
154,1,male,6,ENNI,288,59,3,1,12,8
155,1,male,7,ENNI,485,71,0,1,13,5
156,1,male,7,ENNI,536,78,0,2,19,4
157,1,male,7,ENNI,422,59,0,0,23,7
158,1,female,7,ENNI,1668,189,0,5,17,7
159,1,male,7,ENNI,471,69,2,1,18,4
160,1,male,7,ENNI,625,130,9,8,34,8
161,1,male,7,ENNI,361,55,0,1,9,1
162,1,male,7,ENNI,482,65,9,1,15,2
163,1,male,7,ENNI,917,172,0,9,17,7
164,1,male,7,ENNI,388,46,0,0,2,2
165,1,female,7,ENNI,709,87,0,0,14,7
166,1,female,7,ENNI,370,53,0,3,5,1
167,1,male,7,ENNI,348,54,7,1,13,3
168,1,male,8,ENNI,361,62,2,0,15,1
169,1,female,8,ENNI,1006,126,5,4,29,11
170,1,female,8,ENNI,514,65,0,1,2,1
171,1,male,8,ENNI,638,99,0,0,5,1
172,1,male,8,ENNI,446,72,6,12,7,3
173,1,female,8,ENNI,755,102,0,2,20,0
174,1,male,8,ENNI,423,62,13,1,42,13
175,1,male,8,ENNI,754,95,14,1,25,3
176,1,male,8,ENNI,375,60,0,1,19,7
177,1,female,8,ENNI,500,66,5,0,25,5
178,1,female,8,ENNI,425,61,0,0,4,1
179,1,male,8,ENNI,638,80,0,1,13,3
180,1,female,8,ENNI,563,76,0,0,11,0
181,1,male,8,ENNI,342,54,15,0,9,1
182,1,male,9,ENNI,438,58,15,1,12,1
183,1,male,8,ENNI,680,85,0,3,46,0
184,1,female,8,ENNI,887,108,2,1,23,3
185,1,female,9,ENNI,348,53,0,3,7,1
186,1,male,9,ENNI,705,79,0,3,23,3
187,1,male,9,ENNI,1404,185,15,11,42,25
188,1,male,9,ENNI,1162,125,0,2,82,49
189,1,female,9,ENNI,729,80,0,1,7,3
190,1,male,9,ENNI,592,63,7,0,25,6
191,1,female,9,ENNI,888,92,0,3,42,19
192,1,male,9,ENNI,535,62,0,3,8,5
193,1,female,9,ENNI,465,58,0,0,14,6
194,1,female,9,ENNI,435,56,0,0,14,4
195,0,female,4,ENNI,989,118,1,3,41,18
196,0,male,4,ENNI,530,95,159,3,14,3
197,0,female,4,ENNI,513,73,18,1,36,9
198,0,male,4,ENNI,333,72,63,0,5,1
199,0,male,4,ENNI,617,90,72,4,8,1
200,0,female,4,ENNI,674,89,18,7,39,7
201,0,male,4,ENNI,374,58,26,2,9,0
202,0,female,4,ENNI,525,71,7,1,13,9
203,0,male,4,ENNI,419,58,15,0,26,22
204,0,female,4,ENNI,456,63,55,0,15,2
205,0,female,4,ENNI,802,91,28,6,40,1
206,0,female,4,ENNI,830,84,14,2,51,10
207,0,male,5,ENNI,444,73,76,1,12,7
208,0,female,4,ENNI,478,72,8,0,21,1
209,0,female,4,ENNI,627,81,6,1,7,4
210,0,female,4,ENNI,1038,122,12,3,49,14
211,0,male,4,ENNI,612,78,24,0,49,45
212,0,female,4,ENNI,598,78,5,1,32,2
213,0,male,4,ENNI,1317,156,6,5,49,1
214,0,male,4,ENNI,629,88,31,2,13,2
215,0,female,4,ENNI,849,100,1,0,40,12
216,0,female,4,ENNI,388,55,0,2,5,0
217,0,female,4,ENNI,481,80,14,7,8,0
218,0,male,4,ENNI,518,60,0,0,29,8
219,0,male,5,ENNI,410,58,0,1,6,4
220,0,male,4,ENNI,347,70,107,9,11,8
221,0,male,4,ENNI,400,59,10,1,6,1
222,0,male,4,ENNI,443,62,0,0,11,3
223,0,male,4,ENNI,525,80,0,1,17,3
224,0,female,4,ENNI,292,58,0,0,2,0
225,0,male,4,ENNI,310,59,0,0,14,17
226,0,male,4,ENNI,746,87,0,1,13,3
227,0,female,4,ENNI,261,61,0,0,8,6
228,0,male,4,ENNI,522,61,0,1,22,13
229,0,female,4,ENNI,410,58,0,0,42,35
230,0,female,4,ENNI,620,69,0,1,11,4
231,0,male,4,ENNI,357,56,0,0,26,25
232,0,male,4,ENNI,493,70,0,1,19,8
233,0,female,4,ENNI,309,72,6,4,7,9
234,0,female,4,ENNI,563,72,0,0,11,1
235,0,female,4,ENNI,428,70,0,1,11,1
236,0,male,4,ENNI,572,66,0,0,23,1
237,0,male,4,ENNI,626,69,0,4,46,9
238,0,female,4,ENNI,330,58,0,0,17,11
239,0,male,4,ENNI,644,113,0,6,6,0
240,0,female,4,ENNI,394,71,0,1,39,7
241,0,female,4,ENNI,319,60,0,0,17,17
242,0,female,4,ENNI,409,61,0,1,8,5
243,0,male,4,ENNI,686,87,0,0,26,9
244,0,female,4,ENNI,346,50,0,0,3,1
245,0,female,5,ENNI,705,81,2,1,21,8
246,0,female,5,ENNI,444,65,25,0,22,12
247,0,male,5,ENNI,731,87,6,1,49,2
248,0,male,5,ENNI,945,111,20,1,15,0
249,0,male,5,ENNI,461,62,18,0,36,5
250,0,female,5,ENNI,552,73,11,0,16,10
251,0,female,5,ENNI,751,101,16,4,24,11
252,0,male,5,ENNI,404,64,1,0,11,4
253,0,female,5,ENNI,514,67,0,2,12,0
254,0,female,5,ENNI,509,56,0,0,8,3
255,0,female,5,ENNI,405,54,0,1,0,0
256,0,male,5,ENNI,827,100,0,1,22,3
257,0,female,5,ENNI,631,60,8,1,56,0
258,0,male,5,ENNI,575,68,16,0,8,1
259,0,female,5,ENNI,296,51,0,0,4,3
260,0,female,5,ENNI,493,57,0,2,34,35
261,0,female,5,ENNI,976,140,6,2,25,1
262,0,male,5,ENNI,557,62,14,0,26,4
263,0,male,5,ENNI,662,64,8,1,57,2
264,0,male,5,ENNI,480,59,2,0,23,1
265,0,male,5,ENNI,547,53,27,2,29,12
266,0,male,5,ENNI,657,82,3,1,15,10
267,0,female,5,ENNI,844,111,9,1,5,0
268,0,female,5,ENNI,461,71,19,0,4,0
269,0,male,5,ENNI,462,65,0,0,11,2
270,0,male,5,ENNI,552,82,0,1,8,4
271,0,female,5,ENNI,1100,123,127,1,33,19
272,0,female,5,ENNI,409,58,4,1,5,0
273,0,female,5,ENNI,910,110,0,0,40,3
274,0,male,5,ENNI,492,57,7,0,12,2
275,0,male,6,ENNI,298,55,0,0,17,4
276,0,female,5,ENNI,353,61,14,0,7,1
277,0,male,5,ENNI,396,55,0,0,28,3
278,0,male,5,ENNI,422,54,0,1,41,7
279,0,female,5,ENNI,396,52,0,0,5,1
280,0,male,5,ENNI,750,90,0,3,9,5
281,0,male,5,ENNI,778,96,0,1,18,9
282,0,female,5,ENNI,784,122,0,8,17,10
283,0,male,5,ENNI,876,94,0,3,37,11
284,0,female,6,ENNI,548,66,0,0,3,0
285,0,male,5,ENNI,783,89,0,1,27,4
286,0,male,5,ENNI,396,56,0,0,7,0
287,0,female,5,ENNI,737,84,1,0,18,16
288,0,male,5,ENNI,413,63,0,1,17,1
289,0,male,5,ENNI,545,70,2,2,7,8
290,0,female,5,ENNI,732,105,3,5,19,6
291,0,female,5,ENNI,457,56,0,1,11,11
292,0,female,5,ENNI,793,79,0,3,22,20
293,0,male,5,ENNI,383,62,2,0,7,3
294,0,female,5,ENNI,818,94,0,2,32,14
295,0,male,6,ENNI,903,117,0,0,35,8
296,0,male,6,ENNI,488,63,5,0,14,2
297,0,male,6,ENNI,1117,113,0,1,42,25
298,0,female,6,ENNI,486,66,7,1,23,9
299,0,female,6,ENNI,781,76,0,0,21,11
300,0,male,6,ENNI,439,63,2,1,24,19
301,0,male,6,ENNI,852,94,21,1,32,1
302,0,female,6,ENNI,508,60,19,0,9,0
303,0,female,6,ENNI,579,70,3,1,2,2
304,0,male,6,ENNI,410,63,0,1,9,0
305,0,male,6,ENNI,302,53,0,0,7,7
306,0,female,6,ENNI,723,90,2,3,10,1
307,0,female,6,ENNI,620,64,13,1,15,1
308,0,male,6,ENNI,494,73,0,1,14,7
309,0,male,6,ENNI,490,65,4,1,11,1
310,0,female,6,ENNI,526,68,4,0,2,1
311,0,male,6,ENNI,567,74,9,2,9,1
312,0,male,6,ENNI,403,59,16,0,17,4
313,0,female,6,ENNI,411,59,9,0,17,6
314,0,female,6,ENNI,800,99,14,1,18,6
315,0,female,6,ENNI,427,60,0,1,5,1
316,0,female,6,ENNI,615,73,12,2,12,2
317,0,male,6,ENNI,398,52,0,0,19,5
318,0,male,6,ENNI,510,70,0,0,8,0
319,0,female,6,ENNI,456,73,17,2,9,1
320,0,male,6,ENNI,1033,129,0,1,24,11
321,0,male,6,ENNI,414,54,0,2,6,1
322,0,female,6,ENNI,563,107,32,1,10,5
323,0,female,6,ENNI,386,50,0,0,15,3
324,0,male,6,ENNI,471,70,6,1,7,5
325,0,male,6,ENNI,427,53,0,1,10,2
326,0,male,6,ENNI,421,57,0,0,26,20
327,0,female,6,ENNI,619,75,0,0,18,4
328,0,female,6,ENNI,832,100,6,1,23,0
329,0,female,6,ENNI,711,81,0,1,23,5
330,0,female,6,ENNI,513,75,0,0,7,0
331,0,male,6,ENNI,360,60,0,0,2,1
332,0,male,6,ENNI,848,104,34,0,22,27
333,0,male,6,ENNI,550,61,0,1,14,17
334,0,male,6,ENNI,862,109,0,2,29,39
335,0,male,6,ENNI,429,59,0,0,8,2
336,0,male,6,ENNI,351,54,0,0,4,0
337,0,male,6,ENNI,899,110,0,1,5,0
338,0,female,6,ENNI,422,57,0,2,8,3
339,0,female,6,ENNI,414,57,0,0,13,2
340,0,female,6,ENNI,310,64,0,0,4,0
341,0,female,6,ENNI,762,91,0,1,6,3
342,0,male,6,ENNI,472,68,0,0,3,0
343,0,female,6,ENNI,585,74,0,1,17,5
344,0,female,6,ENNI,711,79,0,0,20,16
345,0,male,7,ENNI,637,75,24,7,12,3
346,0,male,7,ENNI,380,55,0,1,13,2
347,0,female,7,ENNI,369,52,0,0,7,1
348,0,male,7,ENNI,551,79,0,1,13,1
349,0,female,7,ENNI,564,73,5,0,28,27
350,0,male,7,ENNI,450,58,0,0,5,4
351,0,female,7,ENNI,470,61,0,0,29,9
352,0,male,7,ENNI,314,50,0,0,4,0
353,0,female,7,ENNI,759,76,0,1,13,4
354,0,male,7,ENNI,693,72,0,1,12,6
355,0,male,7,ENNI,769,71,0,0,20,6
356,0,female,7,ENNI,730,86,0,3,8,0
357,0,male,7,ENNI,706,77,0,1,2,1
358,0,male,7,ENNI,856,101,0,0,34,20
359,0,female,7,ENNI,680,69,0,0,14,2
360,0,female,7,ENNI,640,76,6,3,1,1
361,0,male,7,ENNI,693,94,0,2,12,0
362,0,female,7,ENNI,1051,106,17,2,34,42
363,0,male,7,ENNI,843,88,26,1,26,10
364,0,female,7,ENNI,320,54,2,0,0,3
365,0,male,8,ENNI,813,98,7,1,17,13
366,0,female,7,ENNI,334,45,0,0,7,0
367,0,female,7,ENNI,506,59,0,0,3,1
368,0,male,7,ENNI,845,95,1,3,15,0
369,0,female,7,ENNI,1000,137,0,0,23,10
370,0,male,7,ENNI,435,68,0,3,7,0
371,0,female,7,ENNI,594,70,0,0,22,7
372,0,female,7,ENNI,632,66,0,2,2,0
373,0,male,7,ENNI,458,53,0,1,7,5
374,0,male,7,ENNI,640,71,0,1,26,36
375,0,female,7,ENNI,462,55,36,1,0,0
376,0,male,7,ENNI,777,95,0,1,18,20
377,0,male,7,ENNI,738,67,0,1,17,8
378,0,female,7,ENNI,562,77,3,0,21,13
379,0,male,7,ENNI,800,75,0,0,18,6
380,0,female,7,ENNI,482,63,0,0,4,1
381,0,female,7,ENNI,838,89,0,3,4,3
382,0,female,7,ENNI,444,63,0,0,11,2
383,0,male,7,ENNI,822,91,0,3,12,4
384,0,male,7,ENNI,751,84,0,1,17,12
385,0,male,7,ENNI,475,65,0,1,10,7
386,0,male,7,ENNI,582,60,0,1,22,6
387,0,female,8,ENNI,700,95,0,0,6,1
388,0,female,7,ENNI,667,87,0,4,18,9
389,0,female,7,ENNI,1026,113,0,3,21,14
390,0,female,7,ENNI,489,59,0,1,5,2
391,0,female,7,ENNI,835,102,3,0,10,3
392,0,male,7,ENNI,421,55,0,1,13,12
393,0,male,7,ENNI,892,89,0,2,26,4
394,0,female,7,ENNI,498,56,0,0,4,7
395,0,male,8,ENNI,487,57,0,0,5,4
396,0,female,8,ENNI,775,88,15,1,19,14
397,0,female,8,ENNI,1131,111,0,1,30,8
398,0,male,8,ENNI,876,107,2,1,55,4
399,0,male,8,ENNI,1190,116,0,5,18,6
400,0,male,8,ENNI,604,72,0,1,21,12
401,0,female,8,ENNI,972,91,5,2,71,66
402,0,female,8,ENNI,553,68,0,0,5,0
403,0,female,8,ENNI,564,59,0,0,15,6
404,0,male,8,ENNI,918,96,0,3,39,15
405,0,female,8,ENNI,761,81,4,0,52,25
406,0,female,8,ENNI,464,69,0,4,4,0
407,0,female,8,ENNI,712,80,0,0,14,4
408,0,female,8,ENNI,656,79,0,1,4,1
409,0,female,8,ENNI,1059,109,4,3,13,18
410,0,male,8,ENNI,729,69,0,1,22,14
411,0,male,8,ENNI,1219,138,0,3,6,0
412,0,female,8,ENNI,562,76,11,4,22,4
413,0,male,8,ENNI,530,72,0,0,8,7
414,0,female,8,ENNI,439,59,13,1,26,29
415,0,male,8,ENNI,515,68,26,0,14,2
416,0,male,8,ENNI,696,76,0,0,12,1
417,0,male,8,ENNI,784,100,0,2,17,2
418,0,male,8,ENNI,550,67,0,1,12,1
419,0,male,8,ENNI,534,61,0,0,5,3
420,0,male,8,ENNI,592,76,0,1,17,9
421,0,female,8,ENNI,760,89,0,1,34,3
422,0,male,8,ENNI,483,59,3,0,13,9
423,0,female,8,ENNI,1258,143,0,4,22,13
424,0,female,8,ENNI,559,67,0,1,24,25
425,0,female,8,ENNI,820,82,0,3,22,11
426,0,female,8,ENNI,577,75,0,5,9,5
427,0,female,8,ENNI,1380,147,0,0,35,9
428,0,male,8,ENNI,682,70,0,1,16,9
429,0,female,8,ENNI,856,85,0,0,12,5
430,0,male,8,ENNI,380,61,0,0,0,2
431,0,female,8,ENNI,942,84,0,0,22,18
432,0,male,8,ENNI,659,76,0,0,19,26
433,0,male,8,ENNI,841,79,0,2,31,11
434,0,male,8,ENNI,422,56,0,2,20,18
435,0,male,8,ENNI,348,49,0,0,7,9
436,0,male,8,ENNI,426,51,0,0,16,11
437,0,female,8,ENNI,741,88,0,2,9,4
438,0,female,8,ENNI,625,71,0,0,9,2
439,0,male,8,ENNI,502,56,0,1,5,2
440,0,male,8,ENNI,424,50,0,0,14,15
441,0,female,9,ENNI,725,82,0,1,7,0
442,0,male,8,ENNI,976,100,15,3,13,0
443,0,female,8,ENNI,654,81,0,1,4,4
444,0,female,8,ENNI,794,88,0,0,14,5
445,0,female,9,ENNI,925,100,7,6,9,5
446,0,male,9,ENNI,483,57,0,0,7,0
447,0,female,9,ENNI,1746,152,0,5,82,7
448,0,female,9,ENNI,623,67,9,0,7,6
449,0,female,9,ENNI,555,57,0,0,30,12
450,0,female,9,ENNI,1153,114,0,2,39,15
451,0,female,9,ENNI,653,72,0,2,8,6
452,0,male,9,ENNI,983,92,14,4,21,16
453,0,male,9,ENNI,653,75,5,0,13,2
454,0,male,9,ENNI,1287,142,0,2,12,4
455,0,male,9,ENNI,675,84,0,1,3,1
456,0,female,9,ENNI,547,65,0,0,3,0
457,0,female,9,ENNI,456,65,0,0,19,10
458,0,male,9,ENNI,980,112,3,1,19,4
459,0,male,9,ENNI,550,67,0,1,9,6
460,0,male,9,ENNI,789,91,0,2,21,7
461,0,female,9,ENNI,592,69,0,0,15,0
462,0,female,9,ENNI,822,82,0,0,19,13
463,0,male,9,ENNI,612,55,0,1,18,10
464,0,female,9,ENNI,453,59,0,0,9,4
465,0,female,9,ENNI,621,63,0,1,15,1
466,0,female,9,ENNI,844,93,0,2,25,14
467,0,male,10,ENNI,684,77,0,0,11,8
468,0,female,9,ENNI,444,65,5,0,2,1
469,0,male,9,ENNI,673,75,0,0,15,7
470,0,male,9,ENNI,615,71,0,1,10,5
471,0,female,9,ENNI,728,84,0,2,5,1
472,0,female,9,ENNI,867,89,0,2,13,1
473,0,male,9,ENNI,426,57,0,0,17,8
474,0,female,9,ENNI,760,82,0,0,6,10
475,0,male,9,ENNI,429,51,0,1,16,16
476,0,male,9,ENNI,805,82,0,0,37,41
477,0,female,9,ENNI,1675,162,0,6,28,24
478,0,male,9,ENNI,692,88,0,4,21,12
479,0,male,9,ENNI,759,81,0,6,12,0
480,0,male,9,ENNI,525,58,0,1,17,22
481,0,female,9,ENNI,650,70,0,0,7,4
482,0,female,9,ENNI,961,105,0,1,31,17
483,0,male,9,ENNI,526,59,0,1,2,1
484,0,female,9,ENNI,448,63,0,0,6,2
485,0,female,9,ENNI,609,73,0,1,0,0
486,0,female,9,ENNI,801,78,0,2,8,6
487,0,male,9,ENNI,542,71,0,4,10,11
488,0,male,9,ENNI,379,53,0,0,9,7
489,0,male,9,ENNI,418,57,0,1,17,13
490,0,female,9,ENNI,663,70,0,0,16,0
491,0,male,9,ENNI,784,69,0,0,30,7
492,0,female,9,ENNI,452,52,0,2,8,5
493,0,male,9,ENNI,591,64,0,3,5,0
494,0,male,9,ENNI,598,85,0,0,25,19
495,1,female,10,Gillam,381,44,4,1,3,12
496,1,male,10,Gillam,559,58,10,2,0,11
497,1,male,10,Gillam,298,34,13,0,0,1
498,1,male,10,Gillam,140,18,16,0,0,9
499,1,female,10,Gillam,314,41,14,1,2,12
500,1,female,10,Gillam,319,30,0,0,1,5
501,1,male,10,Gillam,929,88,0,4,2,34
502,1,male,10,Gillam,193,23,2,0,4,3
503,1,male,10,Gillam,446,38,0,2,4,7
504,1,female,10,Gillam,80,13,9,0,1,4
505,1,male,10,Gillam,501,44,0,1,4,40
506,1,female,10,Gillam,308,35,11,0,2,11
507,1,female,10,Gillam,472,44,10,0,6,1
508,1,male,10,Gillam,218,21,3,1,7,3
509,1,male,10,Gillam,358,46,15,1,2,0
510,1,male,10,Gillam,754,79,29,3,3,23
511,1,male,10,Gillam,316,42,51,1,5,10
512,1,male,10,Gillam,443,64,37,2,5,3
513,1,female,10,Gillam,266,31,25,1,2,1
514,1,female,10,Gillam,248,30,15,0,6,17
515,1,male,10,Gillam,245,34,16,0,1,17
516,1,male,11,Gillam,405,47,7,1,3,9
517,1,male,5,Gillam,101,33,118,0,0,9
518,1,female,5,Gillam,130,29,44,2,1,15
519,1,female,5,Gillam,137,24,82,0,2,5
520,1,female,5,Gillam,132,19,30,1,6,7
521,1,female,5,Gillam,78,31,114,0,1,2
522,1,male,6,Gillam,256,35,14,0,5,9
523,1,female,6,Gillam,119,18,17,0,1,2
524,1,male,6,Gillam,236,33,61,0,2,6
525,1,male,6,Gillam,69,15,42,0,2,0
526,1,male,5,Gillam,100,15,21,0,0,1
527,1,female,6,Gillam,65,20,110,0,0,2
528,1,female,6,Gillam,251,23,34,0,3,9
529,1,female,6,Gillam,260,40,51,1,5,2
530,1,male,7,Gillam,487,45,6,2,11,17
531,1,male,7,Gillam,296,26,0,1,4,4
532,1,female,7,Gillam,196,29,0,1,3,2
533,1,female,7,Gillam,196,28,0,1,3,2
534,1,male,7,Gillam,249,39,33,0,2,4
535,1,male,7,Gillam,126,27,124,0,3,3
536,1,male,7,Gillam,387,53,97,0,4,6
537,1,male,7,Gillam,154,22,14,0,1,1
538,1,female,7,Gillam,303,44,77,1,1,3
539,1,male,8,Gillam,243,35,9,3,3,19
540,1,female,8,Gillam,289,40,24,1,0,5
541,1,male,8,Gillam,245,39,64,1,3,9
542,1,female,8,Gillam,361,48,28,1,6,4
543,1,female,8,Gillam,444,57,5,2,1,7
544,1,female,8,Gillam,268,40,12,2,0,2
545,1,male,8,Gillam,269,37,42,0,3,2
546,1,male,8,Gillam,359,39,22,0,1,2
547,1,female,8,Gillam,87,17,101,0,0,3
548,1,male,9,Gillam,535,70,7,0,6,4
549,1,male,9,Gillam,311,26,0,1,10,18
550,1,male,9,Gillam,713,132,621,0,23,12
551,1,male,9,Gillam,114,25,63,0,1,2
552,1,male,9,Gillam,205,26,2,1,0,5
553,1,male,9,Gillam,126,18,44,1,0,0
554,1,female,9,Gillam,302,32,0,1,2,6
555,1,female,9,Gillam,1439,145,1,4,19,7
556,1,male,9,Gillam,358,33,2,1,2,15
557,1,male,9,Gillam,148,27,34,0,2,4
558,1,female,9,Gillam,336,35,21,0,4,7
559,1,female,9,Gillam,396,49,18,0,0,27
560,1,male,9,Gillam,583,47,1,2,6,62
561,1,female,9,Gillam,284,34,1,1,0,5
562,1,female,9,Gillam,329,43,25,1,1,6
563,1,female,9,Gillam,395,44,14,2,2,21
564,1,male,9,Gillam,393,59,89,1,0,5
565,1,male,9,Gillam,321,39,17,1,0,7
566,1,male,9,Gillam,222,27,16,2,1,0
567,1,male,9,Gillam,346,40,0,1,1,24
568,1,male,9,Gillam,304,32,0,0,2,4
569,1,female,9,Gillam,284,27,0,1,2,9
570,1,female,9,Gillam,307,45,36,0,3,15
571,1,female,9,Gillam,325,51,53,1,3,2
572,1,male,5,Gillam,66,18,80,0,1,1
573,1,male,8,Gillam,250,40,13,0,0,14
574,1,male,6,Gillam,306,63,269,0,1,7
575,1,male,6,Gillam,119,33,89,0,1,0
576,1,male,6,Gillam,92,17,37,0,1,2
577,1,female,6,Gillam,81,21,48,0,0,5
578,1,male,7,Gillam,266,28,0,3,5,0
579,1,male,7,Gillam,126,17,0,0,2,5
580,1,male,5,Gillam,151,21,13,0,1,5
581,1,female,6,Gillam,160,25,4,0,0,2
582,1,male,7,Gillam,270,38,11,1,3,9
583,1,male,8,Gillam,306,27,0,1,2,40
584,1,male,6,Gillam,212,34,1,0,6,5
585,1,male,7,Gillam,412,58,11,5,2,4
586,1,male,6,Gillam,286,35,0,0,5,2
587,1,male,7,Gillam,184,26,8,0,4,1
588,1,male,6,Gillam,48,9,29,0,0,3
589,1,female,6,Gillam,96,16,11,1,0,3
590,1,female,7,Gillam,204,29,12,0,1,15
591,1,male,7,Gillam,90,15,20,0,0,5
592,1,female,8,Gillam,338,33,9,0,5,20
593,1,female,8,Gillam,110,21,29,0,1,0
594,1,female,6,Gillam,121,17,23,0,0,5
595,1,female,5,Gillam,168,26,33,0,1,6
596,1,male,7,Gillam,30,7,75,0,0,0
597,1,male,6,Gillam,123,22,46,1,2,6
598,1,male,6,Gillam,85,13,40,0,1,7
599,1,female,6,Gillam,84,12,0,0,0,6
600,1,female,6,Gillam,162,20,19,0,1,3
602,1,female,7,Gillam,289,38,26,0,0,4
603,1,male,6,Gillam,212,28,0,0,4,0
604,1,male,8,Gillam,104,24,37,0,1,2
605,1,female,7,Gillam,307,52,12,1,1,21
606,1,female,7,Gillam,224,37,7,0,1,1
607,1,male,6,Gillam,160,22,24,0,3,2
608,1,female,7,Gillam,217,26,0,1,1,0
609,1,female,7,Gillam,131,19,19,0,3,0
610,1,female,6,Gillam,148,19,11,0,2,4
611,1,female,8,Gillam,439,57,11,0,5,2
612,1,male,6,Gillam,181,32,51,1,0,1
613,1,female,7,Gillam,86,14,12,0,0,2
614,1,female,8,Gillam,377,34,0,0,5,5
615,1,male,8,Gillam,92,17,35,0,0,0
616,1,male,8,Gillam,175,29,3,0,0,4
617,1,male,8,Gillam,504,73,22,2,10,27
618,1,female,8,Gillam,144,23,30,0,0,33
619,1,male,7,Gillam,179,29,5,2,3,2
620,1,male,8,Gillam,212,31,32,2,1,3
621,1,male,7,Gillam,244,30,0,0,1,2
622,1,male,8,Gillam,85,15,30,0,0,0
623,1,female,6,Gillam,423,64,34,2,9,11
624,1,male,7,Gillam,633,79,57,0,14,24
625,1,male,7,Gillam,220,30,4,1,0,0
626,1,male,6,Gillam,177,28,11,0,2,2
627,1,male,8,Gillam,214,25,0,1,3,6
628,1,male,6,Gillam,66,16,114,1,2,9
629,1,female,7,Gillam,114,22,14,0,0,0
630,1,male,8,Gillam,107,17,46,0,2,1
631,1,male,6,Gillam,342,36,16,0,2,4
632,1,male,7,Gillam,214,32,10,1,4,12
633,1,female,7,Gillam,314,39,0,1,1,25
634,1,female,7,Gillam,183,25,5,0,1,3
635,1,female,7,Gillam,135,18,5,0,0,22
636,1,female,6,Gillam,263,22,26,0,5,1
637,1,male,7,Gillam,307,34,0,1,1,11
638,1,male,7,Gillam,155,21,20,0,3,0
639,1,male,7,Gillam,294,38,1,0,2,9
640,1,female,7,Gillam,253,32,22,3,3,0
641,1,female,7,Gillam,397,48,0,1,4,10
642,1,male,7,Gillam,229,31,0,1,0,0
643,1,male,7,Gillam,121,18,42,0,0,6
644,1,male,7,Gillam,381,46,33,2,1,17
645,1,male,6,Gillam,121,22,29,0,0,2
646,1,female,7,Gillam,600,59,24,0,6,21
647,1,male,8,Gillam,376,40,0,0,2,20
648,1,female,8,Gillam,132,17,5,0,0,2
649,1,male,8,Gillam,603,56,28,1,8,58
